İlk Lokma,Herhangi bir modda ilk yemi ye.,False,,Revealed,5,1
Yapay Zeka Avcısı,1P vs AI modunda yapay zekayı bir roundda yen.,False,,Revealed,40,2
İnatçı Hayatta Kalan,Uzunluğun 3'ün altına düştükten sonra o roundu kazan.,False,,Revealed,40,3
Gökkuşağı Gücü,Bir Yakut (Ruby) yiyerek "Beast Mode" aktif et.,False,,Revealed,5,4
Dev Yılan,Herhangi bir modda 50 birim uzunluğa ulaş.,False,,Revealed,40,5
Sıfır Hata,Bir maçı rakibine hiç round vermeden (5-0) kazan.,False,,Revealed,100,6
Engel Tanımaz,Macera modunda 5. rounda ulaş.,False,,Revealed,100,7
Boyut Gezgini,Macera modunda portalları 5 kez kullan.,False,,Revealed,5,8
Robot Terbiye Edicisi,Hızlı Rekabetçi modunda AI'yı 5-0 yen.,False,,Revealed,100,9
Son Saniye Kahramanı,Hızlı modda son 10 saniye içinde kazan.,False,,Revealed,50,10
Büyük Dönüş,Hızlı modda 4-0 gerideyken maçı 5-4 kazan.,False,,Revealed,200,11
Beraberlik Yok,Hızlı modda "Ani Ölüm" (Sudden Death) zaferi kazan.,False,,Revealed,100,12
Hayalet Geçiş,Boost etkisindeyken rakibin içinden geç.,False,,Revealed,50,13
Şimşek Refleks,Hızlı modda maçı 1 dakikadan kısa sürede bitir.,False,,Revealed,100,14
Macera Tamamlandı,Macera modunda maçı kazan.,False,,Revealed,65,15
